Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
"Winter crop rotation intensification to increase rice yield, soil carbon, and microbial diversity",https://www.cell.com/heliyon/fulltext/S2405-8440(23)00110-X,10.1016/j.heliyon.2023.e12903,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=10.1016/j.heliyon.2023.e12903&as_ylo=1900",Heliyon,False,,"Zhou, Quan and Zhang, Peng and Wang, Zhiqiang and Wang, Lixian and Wang, Shubin and Yang, Wenting and Yang, Binjuan and Huang, Guoqin"
"Comparisons between diversified multicropping systems in terms of crop productivity, economic benefits and carbon footprint in the Pearl River Delta region of …",https://www.sciencedirect.com/science/article/pii/S2949911923000539,10.1016/j.farsys.2023.100051,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=10.1016/j.heliyon.2023.e12903&as_ylo=1900",Farming System,False,,"Cai, Guangyuan and Su, Xiaojin and Li, Yuliang and Wang, Xiaolong"
The impact of different preceding crops on soil nitrogen structure and nitrogen cycling in tobacco-planting soil,https://www.nature.com/articles/s41598-024-52285-z,10.1038/s41598-024-52285-z,True,The impact of different preceding crops on soil nitrogen structure and nitrogen cycling in tobacco-planting soil.pdf,2024,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=10.1016/j.heliyon.2023.e12903&as_ylo=1900",Scientific Reports,True,Scholar,"Liu, Ming and Xue, Rujun and Han, Ningbo and Yang, Shanqin and Wang, Dexun and Hu, Yanxia and Gu, Kaiyuan and Su, Jiaen"
Effects of aftercrop tomato and maize on the soil microenvironment and microbial diversity in a long-term cotton continuous cropping field,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2024.1410219/full,10.3389/fmicb.2024.1410219,True,Effects of aftercrop tomato and maize on the soil microenvironment and microbial diversity in a long-term cotton continuous cropping field.pdf,2024,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=10.1016/j.heliyon.2023.e12903&as_ylo=1900",Frontiers in Microbiology,True,Scholar,"Han, Shouyan and Ji, Xiaohui and Huang, Liwen and Liu, Gaijie and Ye, Jingyi and Wang, Aiying"
Effects of oilseed rape green manure on phosphorus availability of red soil and rice yield in rice–green manure rotation system,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1417504/abstract,10.3389/fpls.2024.1417504,True,Effects of oilseed rape green manure on phosphorus availability of red soil and rice yield in rice_green manure rotation system.pdf,2024,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=10.1016/j.heliyon.2023.e12903&as_ylo=1900",Frontiers in Plant Science,True,Scholar,"Gu, Chi-ming and Li, Yin-shui and Yang, Lu and Dai, Jing and Hu, Wenshi and Yu, Chang-bing and Brooks, Margot and Liao, Xing and Qin, Lu"
Long-term garlic‒maize rotation maintains the stable garlic rhizosphere microecology,https://link.springer.com/article/10.1186/s40793-024-00636-8,10.1186/s40793-024-00636-8,True,Long-term garlic_maize rotation maintains the stable garlic rhizosphere microecology.pdf,2024,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=10.1016/j.heliyon.2023.e12903&as_ylo=1900",Environmental Microbiome,True,Scholar,"He, Shidong and Lv, Minghao and Wang, Rongxin and Li, Ningyang and Wang, Taotao and Shi, Wenchong and Gao, Zheng and Li, Xiang"
Dynamic changes of soil microorganisms in rotation farmland at the western foot of the Greater Khingan range,https://www.frontiersin.org/articles/10.3389/fbioe.2023.1191240/full,10.3389/fbioe.2023.1191240,True,Dynamic changes of soil microorganisms in rotation farmland at the western foot of the Greater Khingan range.pdf,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=10.1016/j.heliyon.2023.e12903&as_ylo=1900",Frontiers in Bioengineering and Biotechnology,True,Scholar,"Wei, Shuli and Fang, Jing and Zhang, Tianjiao and Wang, Jianguo and Cheng, Yuchen and Ma, Jie and Xie, Rui and Liu, Zhixiong and Su, Erhu and Ren, Yongfeng and Zhao, Xiaoqing and Zhang, Xiangqian and Lu, Zhanyuan"
"Benefits and Tradeoffs of Diversifying Rice-Based Cropping Systems Impacts on Soil Health, Productivity, and Multifunctionality",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5081670,10.2139/ssrn.5081670,True,,2025,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=10.1016/j.heliyon.2023.e12903&as_ylo=1900",Elsevier BV,False,,"Rosenberg, Sara  Elizabeth and Gaudin, Am√©lie  CM and Fenster, Thommy  L. D. and Brim-DeForest, Whitney and Linquist, Bruce  A. and Leinfelder-Miles, Michelle  M. and Espino, Luis and Al-Khatib, Kassim and Pittelkow, Cameron"
"Sustainability Implications of Crop Rotations With California Rice Systems: Evaluating Agronomic, Economic and Environmental Benefits and Tradeoffs",https://search.proquest.com/openview/5a89e619581d9d10409794a621799d8e/1?pq-origsite=gscholar&cbl=18750&diss=y,,False,,2024,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=10.1016/j.heliyon.2023.e12903&as_ylo=1900",,False,,SE Rosenberg
Doctor of Philosophy in Horticulture and Agronomy in the,https://escholarship.org/content/qt1w62v5z3/qt1w62v5z3_noSplash_3fe1dab8f4c3e6d86d5a8e50b0502e31.pdf,,False,Doctor of Philosophy in Horticulture and Agronomy in the.pdf,2024,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=10.1016/j.heliyon.2023.e12903&as_ylo=1900",,True,Scholar,SE ROSENBERG
